"id","id_creditos","periodo_inicio","periodo_corte","tipo_credito","primer_dia_mes_corte"
A000003,1,201504,201505,gasto,2015-05-01
A000008,1,201504,201505,deposito,2015-05-01
A000034,2,201505,201506,deposito,2015-06-01
A000037,2,201505,201506,gasto,2015-06-01
A000038,2,201505,201506,gasto,2015-06-01
A000064,2,201505,201506,deposito,2015-06-01
A000089,2,201505,201506,gasto,2015-06-01
A000104,3,201506,201507,deposito,2015-07-01
A000106,3,201506,201507,deposito,2015-07-01
A000132,3,201506,201507,gasto,2015-07-01
A000134,3,201506,201507,gasto,2015-07-01
A000136,3,201506,201507,deposito,2015-07-01
A000155,3,201506,201507,deposito,2015-07-01
A000179,4,201507,201508,gasto,2015-08-01
A000180,4,201507,201508,gasto,2015-08-01
A000181,4,201507,201508,gasto,2015-08-01
A000183,4,201507,201508,gasto,2015-08-01
A000185,4,201507,201508,deposito,2015-08-01
A000199,4,201507,201508,deposito,2015-08-01
A000228,5,201508,201509,gasto,2015-09-01
A000248,5,201508,201509,gasto,2015-09-01
A000249,5,201508,201509,deposito,2015-09-01
A000264,5,201508,201509,gasto,2015-09-01
A000274,5,201508,201509,deposito,2015-09-01
A000295,6,201509,201510,gasto,2015-10-01
A000299,6,201509,201510,gasto,2015-10-01
A000300,6,201509,201510,gasto,2015-10-01
A000301,6,201509,201510,gasto,2015-10-01
A000307,6,201509,201510,deposito,2015-10-01
A000343,6,201509,201510,gasto,2015-10-01
A000347,6,201509,201510,gasto,2015-10-01
A000348,6,201509,201510,deposito,2015-10-01
A000395,7,201510,201511,gasto,2015-11-01
A000396,7,201510,201511,deposito,2015-11-01
A000412,7,201510,201511,gasto,2015-11-01
A000415,7,201510,201511,gasto,2015-11-01
A000422,7,201510,201511,deposito,2015-11-01
A000427,7,201510,201511,gasto,2015-11-01
A000436,8,201511,201512,deposito,2015-12-01
A000468,8,201511,201512,gasto,2015-12-01
A000469,8,201511,201512,gasto,2015-12-01
A000500,8,201511,201512,gasto,2015-12-01
A000502,8,201511,201512,deposito,2015-12-01
A000503,8,201511,201512,deposito,2015-12-01
A000505,8,201511,201512,deposito,2015-12-01
A000507,8,201511,201512,gasto,2015-12-01
A000508,8,201511,201512,gasto,2015-12-01
A000509,8,201511,201512,gasto,2015-12-01
A000522,8,201511,201512,deposito,2015-12-01
A000524,8,201511,201512,deposito,2015-12-01
A000569,9,201512,201601,gasto,2016-01-01
A000572,9,201512,201601,gasto,2016-01-01
A000573,9,201512,201601,gasto,2016-01-01
A000574,9,201512,201601,deposito,2016-01-01
A000576,9,201512,201601,deposito,2016-01-01
A000620,9,201512,201601,deposito,2016-01-01
A000633,10,201601,201602,gasto,2016-02-01
A000634,10,201601,201602,gasto,2016-02-01
A000635,10,201601,201602,deposito,2016-02-01
A000637,10,201601,201602,deposito,2016-02-01
A000660,10,201601,201602,gasto,2016-02-01
A000662,10,201601,201602,deposito,2016-02-01
A000691,10,201601,201602,deposito,2016-02-01
A000700,11,201602,201603,gasto,2016-03-01
A000707,11,201602,201603,deposito,2016-03-01
A000710,11,201602,201603,gasto,2016-03-01
A000728,11,201602,201603,deposito,2016-03-01
A000730,11,201602,201603,gasto,2016-03-01
A000731,11,201602,201603,gasto,2016-03-01
A000749,11,201602,201603,gasto,2016-03-01
A000750,11,201602,201603,gasto,2016-03-01
A000756,11,201602,201603,deposito,2016-03-01
A000758,11,201602,201603,deposito,2016-03-01
A000763,11,201602,201603,deposito,2016-03-01
A000765,11,201602,201603,gasto,2016-03-01
A000767,11,201602,201603,gasto,2016-03-01
A000768,11,201602,201603,gasto,2016-03-01
A000786,12,201603,201604,gasto,2016-04-01
A000787,12,201603,201604,deposito,2016-04-01
A000789,12,201603,201604,deposito,2016-04-01
A000791,12,201603,201604,deposito,2016-04-01
A000793,12,201603,201604,deposito,2016-04-01
A000857,12,201603,201604,deposito,2016-04-01
A000927,13,201604,201605,gasto,2016-05-01
A000928,13,201604,201605,deposito,2016-05-01
A000967,13,201604,201605,gasto,2016-05-01
A000967-1,13,201604,201605,gasto,2016-05-01
A000968,13,201604,201605,deposito,2016-05-01
A001005,14,201605,201606,gasto,2016-06-01
A001006,14,201605,201606,deposito,2016-06-01
A001008,14,201605,201606,deposito,2016-06-01
A001088,14,201605,201606,deposito,2016-06-01
A001101,15,201606,201607,gasto,2016-07-01
A001129,15,201606,201607,gasto,2016-07-01
A001130,15,201606,201607,deposito,2016-07-01
A001132,15,201606,201607,deposito,2016-07-01
A001161,15,201606,201607,gasto,2016-07-01
A001164,15,201606,201607,deposito,2016-07-01
A001211,16,201607,201608,deposito,2016-08-01
A001213,16,201607,201608,gasto,2016-08-01
A001214,16,201607,201608,deposito,2016-08-01
A001277,17,201608,201609,deposito,2016-09-01
A001279,17,201608,201609,gasto,2016-09-01
A001280,17,201608,201609,deposito,2016-09-01
A001282,17,201608,201609,gasto,2016-09-01
A001307,17,201608,201609,deposito,2016-09-01
A001373,18,201609,201610,deposito,2016-10-01
A001518,19,201610,201611,gasto,2016-11-01
A001519,19,201610,201611,deposito,2016-11-01
A001521,19,201610,201611,deposito,2016-11-01
A001533,19,201610,201611,gasto,2016-11-01
A001542,19,201610,201611,deposito,2016-11-01
A001588,20,201611,201612,deposito,2016-12-01
A001590,20,201611,201612,gasto,2016-12-01
A001591,20,201611,201612,deposito,2016-12-01
A001607,20,201611,201612,gasto,2016-12-01
A001609,20,201611,201612,deposito,2016-12-01
A001672,21,201612,201701,deposito,2017-01-01
A001674,21,201612,201701,gasto,2017-01-01
A001675,21,201612,201701,deposito,2017-01-01
A001737,22,201701,201702,gasto,2017-02-01
A001749,22,201701,201702,deposito,2017-02-01
A001751,22,201701,201702,deposito,2017-02-01
A001777,22,201701,201702,gasto,2017-02-01
A001795,22,201701,201702,gasto,2017-02-01
A001796,22,201701,201702,deposito,2017-02-01
A001798,22,201701,201702,gasto,2017-02-01
A001799,22,201701,201702,gasto,2017-02-01
A001800,22,201701,201702,gasto,2017-02-01
A001801,22,201701,201702,gasto,2017-02-01
A001827,22,201701,201702,deposito,2017-02-01
A001849,23,201702,201703,deposito,2017-03-01
A001851,23,201702,201703,deposito,2017-03-01
A001858,23,201702,201703,gasto,2017-03-01
A001859,23,201702,201703,gasto,2017-03-01
