"id","tipo_razon_uso","grupo_viaje","id_presupuesto"
A000007,regular,,
A000012,regular,,
A000013,regular,,
A000014,regular,,
A000015,regular,,
A000016,regular,,
A000017,regular,,
A000018,regular,,
A000019,regular,,
A000020,regular,,
A000022,regular,,
A000026,regular,,
A000027,regular,,
A000028,regular,,
A000029,regular,,
A000031,regular,,
A000032,regular,,
A000033,regular,,
A000036,regular,,
A000037,especifico,G004,P016
A000038,regular,,
A000039,especifico,G004,P016
A000041,regular,,
A000043,regular,,
A000045,regular,G001,
A000046,regular,,
A000051,regular,,
A000054,regular,,
A000058,regular,,
A000059,regular,,
A000060,regular,,
A000063,regular,,
A000072,regular,,
A000073,regular,,
A000075,regular,,
A000083,especifico,,P011
A000084,especifico,,P012
A000085,regular,,
A000087,regular,,
A000089,regular,,
A000090,especifico,,P012
A000092,regular,,
A000094,regular,,
A000096,regular,,
A000098,regular,,
A000099,regular,,
A000100,regular,,
A000101,regular,,
A000102,regular,,
A000103,regular,,
A000108,regular,,
A000109,regular,,
A000110,regular,,
A000113,regular,,
A000117,regular,,
A000119,regular,,
A000120,regular,,
A000121,regular,,
A000122,regular,,
A000123,regular,,
A000126,regular,,
A000132,regular,,
A000134,regular,,
A000135,regular,,
A000136,regular,,
A000137,regular,,
A000140,regular,,
A000141,regular,,
A000142,regular,,
A000143,regular,,
A000144,regular,,
A000146,regular,,
A000147,regular,,
A000150,regular,,
A000152,regular,,
A000157,regular,,
A000162,especifico,,P014
A000164,regular,,
A000165,regular,,
A000166,regular,,
A000167,regular,,
A000168,regular,,
A000169,regular,,
A000170,regular,,
A000171,regular,,
A000174,regular,,
A000175,regular,,
A000176,regular,,
A000177,regular,,
A000178,especifico,,P012
A000179,regular,,
A000180,regular,,
A000181,regular,,
A000182,regular,,
A000183,regular,,
A000184,regular,,
A000185,regular,,
A000186,regular,,
A000187,regular,,
A000188,regular,,
A000189,regular,,
A000190,regular,,
A000192,regular,,
A000193,regular,,
A000195,regular,,
A000196,regular,,
A000197,regular,,
A000198,regular,,
A000201,regular,,
A000205,regular,,
A000206,regular,,
A000209,regular,,
A000210,regular,,
A000211,especifico,G002,P017
A000212,especifico,G002,P017
A000213,especifico,G002,P017
A000214,especifico,G002,P017
A000215,especifico,G002,P017
A000216,especifico,G002,P017
A000217,especifico,G002,P017
A000218,especifico,G002,P017
A000219,especifico,G002,P017
A000220,especifico,G002,P017
A000222,regular,,
A000223,regular,,
A000224,regular,,
A000225,especifico,,P015
A000226,regular,,
A000227,regular,,
A000228,regular,,
A000229,regular,,
A000231,regular,,
A000232,regular,,
A000239,regular,,
A000240,regular,,
A000245,regular,,
A000246,regular,,
A000247,regular,,
A000248,regular,,
A000251,regular,,
A000252,regular,,
A000253,regular,,
A000256,regular,,
A000257,regular,,
A000258,regular,,
A000259,regular,,
A000260,regular,,
A000263,especifico,G002,P017
A000264,especifico,G002,P017
A000265,especifico,G002,P017
A000266,especifico,G002,P017
A000267,especifico,G002,P017
A000268,especifico,G002,P017
A000270,regular,,
A000280,regular,,
A000281,especifico,G004,P016
A000282,especifico,G004,P016
A000283,especifico,G002,P017
A000284,regular,,
A000285,especifico,,P013
A000288,especifico,,P013
A000289,regular,,
A000290,regular,,
A000291,regular,,
A000292,regular,,
A000294,regular,,
A000295,regular,,
A000296,regular,,
A000297,regular,,
A000298,regular,,
A000299,especifico,,P012
A000300,especifico,,P012
A000301,especifico,,P012
A000302,especifico,,P012
A000303,especifico,,P012
A000304,regular,,
A000305,regular,,
A000306,regular,,
A000309,regular,,
A000319,regular,,
A000320,regular,,
A000321,regular,,
A000322,regular,,
A000327,especifico,,P011
A000328,regular,,
A000329,regular,,
A000330,regular,,
A000331,regular,,
A000332,regular,,
A000333,regular,,
A000334,regular,,
A000335,regular,,
A000338,especifico,,P012
A000339,regular,,
A000340,regular,,
A000341,regular,,
A000342,regular,,
A000343,regular,,
A000347,regular,,
A000354,regular,,
A000357,regular,,
A000358,regular,,
A000359,regular,,
A000360,regular,,
A000361,regular,,
A000362,regular,,
A000363,regular,,
A000364,regular,,
A000365,regular,,
A000366,regular,,
A000367,regular,,
A000368,regular,,
A000369,regular,,
A000370,regular,,
A000371,regular,,
A000381,regular,,
A000382,regular,,
A000383,regular,,
A000384,regular,,
A000385,regular,,
A000386,regular,,
A000387,regular,,
A000390,regular,,
A000391,regular,,
A000392,regular,,
A000393,regular,,
A000394,regular,,
A000395,regular,,
A000396,regular,,
A000397,regular,,
A000398,regular,,
A000406,regular,,
A000409,regular,,
A000410,regular,,
A000411,regular,,
A000413,regular,G003,
A000414,regular,G003,
A000415,regular,G003,
A000416,regular,G003,
A000417,regular,G003,
A000418,regular,G003,
A000419,regular,,
A000420,regular,,
A000421,regular,,
A000424,regular,,
A000425,regular,,
A000426,regular,,
A000427,regular,,
A000428,regular,,
A000429,regular,,
A000432,regular,,
A000433,regular,,
A000434,regular,,
A000435,regular,,
A000439,regular,,
A000440,regular,,
A000449,regular,,
A000450,regular,,
A000451,regular,,
A000452,regular,,
A000453,regular,,
A000454,regular,,
A000455,regular,,
A000456,regular,,
A000457,regular,,
A000458,regular,,
A000459,regular,,
A000460,especifico,G004,P016
A000461,especifico,G004,P016
A000462,especifico,G004,P016
A000463,especifico,G004,P016
A000464,especifico,G004,P016
A000466,especifico,G004,P016
A000467,especifico,G004,P016
A000468,especifico,G004,P016
A000469,especifico,G004,P016
A000472,especifico,G004,P016
A000473,especifico,G004,P016
A000474,especifico,G004,P016
A000475,especifico,G004,P016
A000476,especifico,G004,P016
A000477,especifico,G004,P016
A000478,especifico,G004,P016
A000479,especifico,G004,P016
A000482,especifico,G004,P016
A000483,especifico,G004,P016
A000484,especifico,G004,P016
A000485,especifico,G004,P016
A000486,especifico,G004,P016
A000487,especifico,G004,P016
A000488,especifico,G004,P016
A000489,especifico,G004,P016
A000490,especifico,G004,P016
A000491,especifico,G004,P016
A000492,especifico,G004,P016
A000493,especifico,G004,P016
A000494,especifico,G004,P016
A000495,especifico,G004,P016
A000496,especifico,G004,P016
A000497,regular,,
A000498,regular,,
A000499,regular,,
A000500,regular,,
A000501,regular,,
A000502,regular,,
A000507,regular,,
A000508,regular,,
A000509,regular,,
A000510,regular,,
A000511,regular,,
A000521,regular,,
A000529,regular,,
A000530,regular,,
A000531,regular,,
A000532,regular,,
A000533,regular,,
A000534,regular,,
A000535,regular,,
A000536,especifico,,P013
A000537,especifico,,P013
A000538,especifico,,P013
A000539,regular,,
A000540,regular,,
A000541,especifico,,P013
A000542,regular,,
A000543,regular,,
A000544,regular,,
A000545,regular,,
A000546,regular,,
A000556,regular,,
A000557,regular,,
A000558,regular,,
A000559,especifico,,P013
A000560,regular,,
A000561,regular,G005,
A000562,regular,G005,
A000563,regular,G005,
A000564,regular,,
A000565,regular,,
A000566,regular,,
A000569,regular,,
A000570,regular,,
A000571,regular,,
A000572,regular,,
A000573,especifico,,P013
A000574,regular,,
A000575,regular,,
A000578,regular,,
A000579,regular,,
A000580,especifico,,P013
A000581,regular,,
A000582,regular,,
A000583,regular,,
A000584,regular,,
A000585,regular,,
A000586,especifico,,P013
A000587,regular,,
A000588,regular,,
A000589,regular,,
A000590,regular,,
A000602,regular,,
A000603,regular,,
A000604,especifico,G006,P018
A000605,especifico,G006,P018
A000606,especifico,G006,P018
A000607,especifico,G006,P018
A000608,especifico,G006,P018
A000609,especifico,G006,P018
A000610,especifico,G006,P018
A000610-1,especifico,G006,P018
A000611,especifico,G006,P018
A000612,especifico,G006,P018
A000613,especifico,G006,P006
A000614,especifico,G006,P018
A000615,especifico,G006,P018
A000616,especifico,G006,P018
A000617,regular,,
A000618,regular,,
A000619,regular,,
A000622,regular,,
A000625,regular,,
A000626,regular,,
A000627,regular,,
A000628,regular,,
A000629,regular,,
A000630,regular,,
A000633,regular,,
A000634,regular,,
A000637,regular,,
A000638,regular,,
A000639,regular,,
A000647,regular,,
A000648,regular,,
A000651,regular,,
A000652,regular,,
A000653,regular,,
A000654,regular,,
A000655,regular,,
A000656,regular,,
A000657,regular,,
A000658,regular,,
A000659,regular,,
A000660,regular,,
A000661,regular,,
A000664,regular,,
A000665,regular,,
A000666,regular,,
A000667,regular,,
A000668,regular,,
A000669,regular,,
A000670,regular,,
A000671,regular,,
A000672,regular,,
A000673,regular,,
A000681,regular,,
A000682,regular,,
A000683,regular,,
A000684,regular,,
A000689,regular,,
A000690,regular,,
A000693,regular,,
A000694,regular,,
A000695,regular,,
A000699,regular,,
A000700,regular,,
A000707,regular,,
A000708,regular,,
A000709,regular,,
A000710,regular,,
A000722,regular,,
A000723,regular,,
A000726,regular,,
A000727,regular,,
A000730,regular,,
A000731,regular,,
A000732,regular,,
A000733,regular,,
A000734,regular,,
A000735,regular,,
A000737,regular,,
A000748,regular,,
A000749,especifico,,P012
A000750,especifico,,P012
A000751,regular,,
A000752,especifico,,P014
A000753,regular,,
A000754,regular,,
A000755,regular,,
A000760,regular,,
A000760-1,regular,,
A000761,regular,,
A000762,regular,,
A000765,regular,,
A000766,regular,,
A000767,regular,,
A000768,regular,,
A000769,regular,,
A000770,regular,,
A000771,especifico,,P014
A000772,regular,,
A000773,regular,,
A000774,regular,,
A000775,regular,,
A000776,regular,,
A000777,regular,,
A000778,regular,,
A000786,regular,,
A000787,regular,,
A000788,regular,,
A000797,regular,,
A000798,regular,,
A000799,regular,,
A000802,especifico,,P011
A000803,especifico,,P011
A000804,especifico,,P011
A000805,regular,,
A000806,regular,,
A000807,regular,,
A000808,regular,,
A000809,regular,,
A000810,regular,,
A000811,regular,,
A000812,regular,,
A000813,regular,,
A000814,regular,,
A000815,regular,,
A000816,regular,,
A000817,regular,,
A000818,regular,,
A000819,regular,,
A000820,regular,,
A000821,regular,,
A000822,regular,,
A000823,regular,,
A000826,regular,,
A000827,regular,,
A000829,regular,G007,
A000830,regular,G007,
A000831,regular,,
A000832,regular,,
A000834,regular,,
A000835,especifico,,P014
A000836,regular,,
A000843,regular,,
A000844,regular,,
A000845,regular,,
A000846,regular,,
A000847,regular,,
A000848,regular,,
A000849,regular,,
A000850,regular,,
A000859,regular,,
A000860,regular,,
A000861,regular,,
A000862,regular,,
A000863,regular,,
A000864,regular,,
A000865,regular,,
A000866,regular,,
A000867,regular,,
A000868,regular,,
A000869,regular,,
A000870,regular,,
A000871,regular,,
A000872,regular,,
A000873,regular,,
A000881,regular,,
A000882,regular,,
A000888,especifico,,P012
A000889,regular,,
A000896,regular,,
A000897,regular,,
A000898,regular,,
A000899,regular,,
A000900,regular,,
A000901,regular,,
A000902,regular,,
A000903,regular,,
A000904,regular,,
A000905,regular,,
A000906,regular,,
A000907,regular,,
A000908,regular,,
A000909,regular,,
A000910,regular,,
A000911,regular,,
A000914,regular,,
A000915,regular,,
A000916,regular,,
A000917,regular,,
A000918,regular,,
A000919,regular,,
A000920,regular,,
A000921,regular,,
A000922,regular,,
A000923,regular,,
A000924,regular,,
A000925,regular,,
A000926,regular,,
A000927,regular,,
A000928,regular,,
A000929,regular,,
A000932,regular,,
A000933,regular,,
A000934,regular,,
A000935,regular,,
A000936,regular,,
A000937,regular,,
A000938,regular,,
A000939,regular,,
A000953,regular,,
A000954,regular,,
A000955,regular,,
A000956,regular,,
A000957,regular,,
A000958,regular,,
A000959,regular,,
A000960,regular,,
A000961,regular,,
A000962,regular,,
A000966,regular,,
A000967,especifico,G011,P019
A000967-1,especifico,G011,P019
A000970,regular,,
A000971,regular,,
A000972,regular,,
A000973,regular,,
A000974,regular,,
A000975,regular,,
A000976,regular,,
A000977,regular,,
A000979,regular,,
