id,id_viaje,moneda,tipo_cambio
A005725,V064,Yen Japones,66683
A005420,V062,Dolar Americano,678.84
A013881-1,V122,Yen Japones,63334
A010187,V092,Yen Japones,68929
A003904,V047,Dolar Americano,638.14
A014701,V138,Euro,1044.93
A013226,V133,Euro,995.81
A013998,V131,Dolar Americano,948.83
A013900,V122,Yen Japones,62440
A013224,V132,Euro,995.81
A000981,V009,Dolar Americano,691.26
A012590,V108,Euro,941.52
A011069,V100,Euro,903.92
A001419,V013,Dolar Americano,660.25
A001001,V013,Dolar Americano,688.6
A015686,V143,Yen Japones,68408
A009505,V086,Euro,886.13
A007218,V080,Yen Japones,72963
A013917,V122,Yen Japones,61716
A011007,V100,Euro,936.78
A001391,V011,Dolar Americano,674.34
A013109,V113,Euro,982.04
A014213,V118,Dolar Americano,938.78
A005418,V062,Dolar Americano,678.84
A005405,V062,Dolar Americano,677.15
A004872,V052,Dolar Americano,678.23
A013871,V122,Yen Japones,63334
A011908,V101,Euro,868.24
A009487,V086,Euro,896.6
A008741,V084,Dolar Americano,813.2
A001410,V013,Dolar Americano,660.25
A001438,V013,Dolar Americano,660.25
A005819,V066,Euro,785.21
A013152,V113,Euro,973.31
A013892,V122,Yen Japones,63314
A006073,V071,Dolar Americano,774.3
A014028,V133,Euro,1014.49
A014721,V139,Euro,1017.4
A010182,V090,Euro,947.26
A014641,V138,Euro,1033.8
A008718,V083,Yen Japones,71769
A001077,V010,Euro,775.58
A013548,V120,Dolar Americano,966.4
A005354,V062,Dolar Americano,683.33
A013983,V128,Euro,1022.4
A005636,V064,Yen Japones,66492
A014014,V132,Euro,1014.49
A009516,V086,Euro,882.76
A006189,V074,Euro,864.57
A013551,V120,Dolar Americano,966.4
A013230,V122,Yen Japones,62754
A013822-1,V119,Euro,1026.29
A001992,V021,Euro,710.93
A014000,V131,Dolar Americano,948.83
A013807-1,V118,Dolar Americano,954.7
A002038,V021,Euro,712.7
A013964,V125,Dolar Americano,954.44
A007144-2,V080,Yen Japones,72587
A013632,V114,Euro,1061.55
A014184,V115,Dolar Americano,938.78
A006290,V075,Dolar Americano,752.08
A014103,V116,Yen Japones,61354
A006452,V077,Dolar Americano,811.3
A013686,V117,Euro,1049.02
A013944,V123,Dolar Americano,954.44
A011876,V101,Euro,854.57
A005268,V060,Yen Japones,64008
A013943,V123,Dolar Americano,954.44
A013813,V119,Euro,1026.29
A014012,V132,Euro,1014.49
A013567,V122,Yen Japones,64704
A003800,V047,Dolar Americano,631.29
A003102,V038,Euro,770.3
A005637,V064,Yen Japones,66492
A003461,V047,Dolar Americano,598.1
A013143,V115,Dolar Americano,889.6
A005595,V064,Yen Japones,67143
A001424,V013,Dolar Americano,660.25
A013123,V113,Euro,983.81
A005953,V070,Dolar Americano,723.73
A013139,V113,Euro,971.33
A013008,V110,Euro,934.48
A013116,V113,Euro,983.81
A004912,V052,Dolar Americano,680.19
A013767-1,V115,Dolar Americano,940.92
A013084,V113,Euro,945.58
A013560,V122,Yen Japones,64704
A013142,V113,Euro,973.31
A013850,V120,Dolar Americano,964.38
A010997,V100,Euro,929.39
A007219,V080,Yen Japones,72963
A014743,V139,Euro,1017.4
A014216,V119,Euro,1009.94
A010190,V092,Yen Japones,68929
A015648,V143,Yen Japones,67595
A004885,V052,Dolar Americano,678.23
A011005,V100,Euro,936.78
A009494,V086,Euro,893.84
A010191,V092,Yen Japones,68929
A014109,V119,Euro,1009.94
A014139,V123,Dolar Americano,938.78
A013804,V117,Euro,1023.82
A006229,V073,Dolar Americano,756.35
A014185,V115,Dolar Americano,938.78
A013117,V113,Euro,983.81
A013806-1,V118,Dolar Americano,954.7
A013654,V114,Euro,1059.13
A001776,V018,Euro,702.38
A013348,V133,Euro,1024.05
A013691,V115,Dolar Americano,974.2
A013079,V113,Euro,954.58
A015684,V143,Yen Japones,68408
A003885,V047,Dolar Americano,640.27
A013872,V122,Yen Japones,63334
A013805-1,V118,Dolar Americano,954.7
A005687,V064,Yen Japones,66094
A014259,V122,Yen Japones,61354
A013997,V131,Dolar Americano,948.83
A013777-1,V116,Yen Japones,61984
A013861-1,V121,Dolar Americano,978.2
A003782,V046,Yen Japones,57111
A011008,V100,Euro,936.78
A010171,V089,Yen Japones,68929
A011036,V100,Euro,921.36
A010162,V089,Yen Japones,68929
A015693,V143,Yen Japones,68408
A013828,V119,Euro,1026.29
A013347,V132,Euro,1024.05
A013910,V122,Yen Japones,61716
A008759,V084,Dolar Americano,813.2
A014754,V139,Euro,1021.28
A014031,V133,Euro,1014.49
A014753,V139,Euro,1021.28
A015530,V143,Yen Japones,63163
A013848-1,V120,Dolar Americano,964.38
A011894,V101,Euro,861.83
A013899,V122,Yen Japones,63314
A003024,V032,Dolar Americano,625.92
A013547,V119,Euro,1055.89
A003889,V047,Dolar Americano,639.95
A013110,V113,Euro,982.04
A003903,V047,Dolar Americano,638.14
A001349,V011,Dolar Americano,662
A014616,V134,Yen Japones,59767
A011053,V100,Euro,915.17
A013960-1,V125,Dolar Americano,954.44
A010183,V090,Euro,947.26
A013819,V119,Euro,1026.29
A001076,V010,Euro,775.58
A013745,V119,Euro,1027.32
A010184,V091,Dolar Americano,944.05
A001394,V012,Yen Japones,65981
A010545,V097,Euro,928.62
A003895,V047,Dolar Americano,638.14
A005264,V060,Yen Japones,64008
A015652,V143,Yen Japones,67595
A014016,V132,Euro,1014.49
A013919,V123,Dolar Americano,954.44
A001432,V013,Dolar Americano,660.25
A015643,V143,Yen Japones,67595
