"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_viaje","id_deuda","periodo_fact_c_diaria","metodo_pago_general"
A000001,2015-04-28,INGRESO,transaccion,transaccion_1,INGRESO8,efectivo,51247.5,,,201504,efectivo
A000002,2015-04-28,INGRESO,transaccion,transaccion_2,INGRESO6,debito_4,212546.565,,,201504,debito
A000003,2015-04-28,DINERO,transaccion,transaccion_565,DINERO3,credito_3,-184802.715,,,201504,credito
A000004,2015-04-28,INGRESO,inversion,ahorro_10,INGRESO8,efectivo,-42306.0,,,201504,efectivo
A000005,2015-04-28,INGRESO,transaccion,transaccion_3,INGRESO7,debito_1,295021.695,,,201504,debito
A000006,2015-04-29,INGRESO,inversion,ahorro_1,INGRESO9,efectivo,42294.0,,,201504,efectivo
A000007,2015-04-29,NECESIDAD,necesidad,necesidad_4,NECESIDAD1,efectivo,-499.5,,,201504,efectivo
A000008,2015-04-29,DINERO,transaccion,transaccion_5,DINERO10,credito_3,112864.5,,,201504,credito
A000009,2015-04-29,DINERO,transaccion,transaccion_6,DINERO1,debito_4,-112876.5,,,201504,debito
A000010,2015-04-30,DINERO,transaccion,transaccion_566,DINERO4,efectivo,100350.75,,,201504,efectivo
A000011,2015-04-30,DINERO,transaccion,transaccion_567,DINERO5,debito_1,-98706.0,,,201504,debito
A000012,2015-04-30,NECESIDAD,necesidad,necesidad_7,NECESIDAD10,efectivo,-72973.5,,,201504,efectivo
A000013,2015-04-30,NECESIDAD,necesidad,necesidad_8,NECESIDAD1,efectivo,-1063.5,,,201504,efectivo
A000014,2015-04-30,NECESIDAD,necesidad,necesidad_9,NECESIDAD1,efectivo,-7690.5,,,201504,efectivo
A000015,2015-04-30,NECESIDAD,necesidad,necesidad_10,NECESIDAD10,efectivo,-7056.0,,,201504,efectivo
A000016,2015-04-30,HOGAR,hogar,hogar2052,HOGAR6,efectivo,-1768.5,,,201504,efectivo
A000017,2015-04-30,TRANSPORTE,transporte,transporte_11,TRANSPORTE4,efectivo,-49356.0,,,201504,efectivo
A000018,2015-04-30,LIBRE,consumible,consumible_2309,LIBRE10,efectivo,-3531.0,,,201504,efectivo
A000019,2015-04-30,NECESIDAD,necesidad,necesidad_12,NECESIDAD1,efectivo,-3531.0,,,201504,efectivo
A000020,2015-05-02,RECREACION,consumible,consumible_10599,RECREACION1,efectivo,-4200.75,,,201505,efectivo
A000021,2015-05-04,INGRESO,transaccion,transaccion: nombre_19,INGRESO7,efectivo,7044.0,,,201505,efectivo
A000022,2015-05-04,RECREACION,consumible,consumible_9905,RECREACION5,efectivo,-3531.0,,,201505,efectivo
A000023,2015-05-05,INGRESO,transaccion,transaccion: nombre_20,INGRESO2,efectivo,7044.0,,,201505,efectivo
A000024,2015-05-06,INGRESO,transaccion,transaccion: nombre_1,INGRESO1,efectivo,7044.0,,,201505,efectivo
