"id_creditos","fecha_inicio","fecha_corte","fecha_limite_pago","listo_para_pago","periodo_inicio","periodo_corte","periodo_limite_pago","metodo_pago_general","primer_dia_mes_corte"
1,2015-04-28,2015-05-09,2015-05-31,si,201504,201505,201505,credito,2015-05-01
2,2015-05-10,2015-06-08,2015-06-30,si,201505,201506,201506,credito,2015-06-01
3,2015-06-09,2015-07-08,2015-07-30,si,201506,201507,201507,credito,2015-07-01
4,2015-07-09,2015-08-08,2015-08-30,si,201507,201508,201508,credito,2015-08-01
5,2015-08-09,2015-09-08,2015-09-30,si,201508,201509,201509,credito,2015-09-01
6,2015-09-09,2015-10-08,2015-10-30,si,201509,201510,201510,credito,2015-10-01
7,2015-10-09,2015-11-08,2015-11-30,si,201510,201511,201511,credito,2015-11-01
8,2015-11-09,2015-12-08,2015-12-30,si,201511,201512,201512,credito,2015-12-01
9,2015-12-09,2016-01-08,2016-01-30,si,201512,201601,201601,credito,2016-01-01
10,2016-01-09,2016-02-08,2016-03-01,si,201601,201602,201603,credito,2016-02-01
11,2016-02-09,2016-03-08,2016-03-30,si,201602,201603,201603,credito,2016-03-01
12,2016-03-09,2016-04-08,2016-04-30,si,201603,201604,201604,credito,2016-04-01
13,2016-04-09,2016-05-08,2016-05-30,si,201604,201605,201605,credito,2016-05-01
14,2016-05-09,2016-06-08,2016-06-30,si,201605,201606,201606,credito,2016-06-01
15,2016-06-09,2016-07-08,2016-07-30,si,201606,201607,201607,credito,2016-07-01
16,2016-07-09,2016-08-08,2016-08-30,si,201607,201608,201608,credito,2016-08-01
17,2016-08-09,2016-09-08,2016-09-30,si,201608,201609,201609,credito,2016-09-01
18,2016-09-09,2016-10-08,2016-10-30,si,201609,201610,201610,credito,2016-10-01
19,2016-10-09,2016-11-08,2016-11-30,si,201610,201611,201611,credito,2016-11-01
20,2016-11-09,2016-12-08,2016-12-30,si,201611,201612,201612,credito,2016-12-01
21,2016-12-09,2017-01-08,2017-01-30,si,201612,201701,201701,credito,2017-01-01
22,2017-01-09,2017-02-08,2017-03-02,si,201701,201702,201703,credito,2017-02-01
23,2017-02-09,2017-03-09,2017-03-31,si,201702,201703,201703,credito,2017-03-01
24,2017-03-10,2017-04-09,2017-05-01,si,201703,201704,201705,credito,2017-04-01
25,2017-04-10,2017-05-08,2017-05-30,si,201704,201705,201705,credito,2017-05-01
26,2017-05-09,2017-06-07,2017-06-29,si,201705,201706,201706,credito,2017-06-01
27,2017-06-08,2017-07-08,2017-07-30,si,201706,201707,201707,credito,2017-07-01
28,2017-07-09,2017-08-08,2017-08-30,si,201707,201708,201708,credito,2017-08-01
29,2017-08-09,2017-09-08,2017-09-30,si,201708,201709,201709,credito,2017-09-01
30,2017-09-09,2017-10-09,2017-10-31,si,201709,201710,201710,credito,2017-10-01
31,2017-10-10,2017-11-09,2017-12-01,si,201710,201711,201712,credito,2017-11-01
32,2017-11-10,2017-12-08,2017-12-30,si,201711,201712,201712,credito,2017-12-01
33,2017-12-09,2018-01-08,2018-01-30,si,201712,201801,201801,credito,2018-01-01
34,2018-01-09,2018-02-08,2018-03-02,si,201801,201802,201803,credito,2018-02-01
35,2018-02-09,2018-03-08,2018-03-30,si,201802,201803,201803,credito,2018-03-01
36,2018-03-09,2018-04-08,2018-04-30,si,201803,201804,201804,credito,2018-04-01
37,2018-04-09,2018-05-09,2018-05-31,si,201804,201805,201805,credito,2018-05-01
38,2018-05-10,2018-06-09,2018-07-01,si,201805,201806,201807,credito,2018-06-01
39,2018-06-10,2018-07-09,2018-07-31,si,201806,201807,201807,credito,2018-07-01
40,2018-07-10,2018-08-08,2018-08-30,si,201807,201808,201808,credito,2018-08-01
41,2018-08-09,2018-09-08,2018-09-30,si,201808,201809,201809,credito,2018-09-01
42,2018-09-09,2018-10-08,2018-10-30,si,201809,201810,201810,credito,2018-10-01
43,2018-10-09,2018-11-08,2018-11-30,si,201810,201811,201811,credito,2018-11-01
44,2018-11-09,2018-12-08,2018-12-30,si,201811,201812,201812,credito,2018-12-01
45,2018-12-09,2019-01-08,2019-01-30,si,201812,201901,201901,credito,2019-01-01
46,2019-01-09,2019-02-08,2019-03-02,si,201901,201902,201903,credito,2019-02-01
47,2019-02-09,2019-03-09,2019-03-31,si,201902,201903,201903,credito,2019-03-01
48,2019-03-10,2019-04-09,2019-05-01,si,201903,201904,201905,credito,2019-04-01
49,2019-04-10,2019-05-09,2019-05-30,si,201904,201905,201905,credito,2019-05-01
50,2019-05-10,2019-06-08,2019-06-30,si,201905,201906,201906,credito,2019-06-01
51,2019-06-09,2019-07-08,2019-07-30,si,201906,201907,201907,credito,2019-07-01
52,2019-07-09,2019-08-07,2019-08-29,si,201907,201908,201908,credito,2019-08-01
53,2019-08-08,2019-09-07,2019-09-29,si,201908,201909,201909,credito,2019-09-01
54,2019-09-08,2019-10-08,2019-10-30,si,201909,201910,201910,credito,2019-10-01
55,2019-10-09,2019-11-08,2019-11-30,si,201910,201911,201911,credito,2019-11-01
56,2019-11-09,2019-12-08,2019-12-30,si,201911,201912,201912,credito,2019-12-01
57,2019-12-09,2020-01-07,2020-01-29,si,201912,202001,202001,credito,2020-01-01
58,2020-01-08,2020-02-08,2020-03-01,si,202001,202002,202003,credito,2020-02-01
59,2020-02-09,2020-03-09,2020-03-31,si,202002,202003,202003,credito,2020-03-01
60,2020-03-10,2020-04-08,2020-04-30,si,202003,202004,202004,credito,2020-04-01
61,2020-04-09,2020-05-08,2020-05-30,si,202004,202005,202005,credito,2020-05-01
62,2020-05-09,2020-06-07,2020-06-29,si,202005,202006,202006,credito,2020-06-01
63,2020-06-08,2020-07-07,2020-07-29,si,202006,202007,202007,credito,2020-07-01
64,2020-07-08,2020-08-07,2020-08-29,si,202007,202008,202008,credito,2020-08-01
65,2020-08-08,2020-09-07,2020-09-29,si,202008,202009,202009,credito,2020-09-01
66,2020-09-08,2020-10-08,2020-10-30,si,202009,202010,202010,credito,2020-10-01
67,2020-10-09,2020-11-08,2020-11-30,si,202010,202011,202011,credito,2020-11-01
68,2020-11-09,2020-12-08,2020-12-30,si,202011,202012,202012,credito,2020-12-01
69,2020-12-09,2021-01-08,2021-01-30,si,202012,202101,202101,credito,2021-01-01
70,2021-01-09,2021-02-08,2021-03-02,si,202101,202102,202103,credito,2021-02-01
71,2021-02-09,2021-03-08,2021-03-30,si,202102,202103,202103,credito,2021-03-01
72,2021-03-09,2021-04-08,2021-04-30,si,202103,202104,202104,credito,2021-04-01
73,2021-04-09,2021-05-09,2021-05-31,si,202104,202105,202105,credito,2021-05-01
74,2021-05-10,2021-06-08,2021-06-30,si,202105,202106,202106,credito,2021-06-01
75,2021-06-09,2021-07-08,2021-07-30,si,202106,202107,202107,credito,2021-07-01
76,2021-07-09,2021-08-07,2021-08-29,si,202107,202108,202108,credito,2021-08-01
77,2021-08-08,2021-09-07,2021-09-29,si,202108,202109,202109,credito,2021-09-01
78,2021-09-08,2021-10-08,2021-10-30,si,202109,202110,202110,credito,2021-10-01
79,2021-10-09,2021-11-07,2021-11-29,si,202110,202111,202111,credito,2021-11-01
80,2021-11-08,2021-12-07,2021-12-29,si,202111,202112,202112,credito,2021-12-01
81,2021-12-08,2022-01-07,2022-01-29,si,202112,202201,202201,credito,2022-01-01
82,2022-01-08,2022-02-07,2022-03-01,si,202201,202202,202203,credito,2022-02-01
83,2022-02-08,2022-03-07,2022-03-29,si,202202,202203,202203,credito,2022-03-01
84,2022-03-08,2022-04-08,2022-04-26,si,202203,202204,202204,credito,2022-04-01
85,2022-04-09,2022-05-07,2022-05-26,si,202204,202205,202205,credito,2022-05-01
86,2022-05-08,2022-06-09,2022-06-26,si,202205,202206,202206,credito,2022-06-01
87,2022-06-10,2022-07-08,2022-07-26,si,202206,202207,202207,credito,2022-07-01
88,2022-07-09,2022-08-08,2022-08-26,si,202207,202208,202208,credito,2022-08-01
89,2022-08-09,2022-09-07,2022-09-26,si,202208,202209,202209,credito,2022-09-01
90,2022-09-08,2022-10-07,2022-10-26,si,202209,202210,202210,credito,2022-10-01
91,2022-10-08,2022-11-03,2022-11-28,si,202210,202211,202211,credito,2022-11-01
92,2022-11-04,2022-12-07,2022-12-28,si,202211,202212,202212,credito,2022-12-01
93,2022-12-08,2023-01-08,2023-01-27,si,202212,202301,202301,credito,2023-01-01
94,2023-01-09,2023-02-08,2023-02-28,si,202301,202302,202302,credito,2023-02-01
95,2023-02-09,2023-03-07,2023-03-28,si,202302,202303,202303,credito,2023-03-01
96,2023-03-08,2023-04-04,2023-05-01,si,202303,202304,202305,credito,2023-04-01
97,2023-04-05,2023-05-07,2023-05-29,si,202304,202305,202305,credito,2023-05-01
98,2023-05-08,2023-06-08,2023-07-01,si,202305,202306,202307,credito,2023-06-01
99,2023-06-09,2023-07-06,2023-07-31,si,202306,202307,202307,credito,2023-07-01
100,2023-07-07,2023-08-07,2023-08-28,si,202307,202308,202308,credito,2023-08-01
101,2023-08-08,2023-09-08,2023-09-28,si,202308,202309,202309,credito,2023-09-01
102,2023-09-09,2023-10-08,2023-10-30,si,202309,202310,202310,credito,2023-10-01
103,2023-10-09,2023-11-08,2023-11-29,si,202310,202311,202311,credito,2023-11-01
104,2023-11-09,2023-12-07,2023-12-29,si,202311,202312,202312,credito,2023-12-01
105,2023-12-08,2024-01-07,2024-01-29,si,202312,202401,202401,credito,2024-01-01
106,2024-01-08,2024-02-07,2024-02-29,si,202401,202402,202402,credito,2024-02-01
107,2024-02-08,2024-03-07,2024-04-01,si,202402,202403,202404,credito,2024-03-01
108,2024-03-08,2024-04-07,2024-04-29,si,202403,202404,202404,credito,2024-04-01
109,2024-04-08,2024-05-08,2024-05-29,si,202404,202405,202405,credito,2024-05-01
110,2024-05-09,2024-06-06,2024-07-01,si,202405,202406,202407,credito,2024-06-01
111,2024-06-07,2024-07-08,2024-07-29,si,202406,202407,202407,credito,2024-07-01
112,2024-07-09,2024-08-08,2024-08-29,si,202407,202408,202408,credito,2024-08-01
113,2024-08-09,2024-09-07,2024-09-30,si,202408,202409,202409,credito,2024-09-01
114,2024-09-08,2024-10-08,2024-10-29,si,202409,202410,202410,credito,2024-10-01
115,2024-10-09,2024-11-09,2024-11-29,si,202410,202411,202411,credito,2024-11-01
116,2024-11-10,2024-12-08,2024-12-30,si,202411,202412,202412,credito,2024-12-01
117,2024-12-09,2025-01-08,2025-01-29,si,202412,202501,202501,credito,2025-01-01
118,2025-01-09,2025-02-08,2025-03-03,si,202501,202502,202503,credito,2025-02-01
119,2025-02-09,2025-03-06,2025-03-31,si,202502,202503,202503,credito,2025-03-01
120,2025-03-07,2025-04-07,2025-04-29,si,202503,202504,202504,credito,2025-04-01
121,2025-04-08,2025-05-09,2025-05-29,si,202504,202505,202505,credito,2025-05-01
122,2025-05-10,2025-06-09,2025-06-30,si,202505,202506,202506,credito,2025-06-01
123,2025-06-10,2025-07-08,2025-07-29,si,202506,202507,202507,credito,2025-07-01
124,2025-07-09,2025-08-07,2025-08-29,si,202507,202508,202508,credito,2025-08-01
125,2025-08-08,2025-09-08,2025-09-29,si,202508,202509,202509,credito,2025-09-01
126,2025-09-09,2025-10-08,2025-10-29,si,202509,202510,202510,credito,2025-10-01
127,2025-10-09,2025-11-06,2025-12-01,si,202510,202511,202512,credito,2025-11-01
128,2025-11-07,2025-12-08,2025-12-29,si,202511,202512,202512,credito,2025-12-01
129,2025-12-09,2026-01-08,2026-01-29,si,202512,202601,202601,credito,2026-01-01
130,2026-01-09,2026-02-06,2026-02-28,,202601,202602,202602,credito,2026-02-01
