"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","comparativa_descripcion","comparativa_grupo_viaje","comparativa_razon_uso","comparativa_clave_si","comparativa_clave_no"
A000037,2015-05-11,P.VIAJE,transporte,transporte_16,P.VIAJE7,-137692.5,201505,especifico,V005,G004,,P016,,,
A000039,2015-05-11,P.VIAJE,evento,evento_5846,P.VIAJE4,-76886.25,201505,especifico,V005,G004,,P016,,,
A000083,2015-06-06,P.FORMAL,transporte,transporte_5,P.FORMAL3,-98706.0,201506,especifico,,,,,P.FORMAL,P011,
A000084,2015-06-06,P.GUSTOS,gustos,gustos: nombre_19,P.GUSTOS3,-133956.0,201506,especifico,,,,,P.GUSTOS,,P012
A000090,2015-06-08,P.GUSTOS,gustos,gustos_4668,P.GUSTOS6,-75278.145,201506,especifico,,,,,P.GUSTOS,,P012
A000162,2015-07-14,P.SALUD,hogar,hogar: nombre_17,P.SALUD1,-105756.0,201507,especifico,,,,,P.SALUD,,P014
A000178,2015-07-25,P.GUSTOS,necesidad,necesidad_8,P.GUSTOS9,-151299.0,201507,especifico,,,,,P.GUSTOS,,P012
A000211,2015-08-08,P.VIAJE,transporte,transporte_19,P.VIAJE4,-8748.0,201508,especifico,V002,G002,,P017,,,
A000212,2015-08-08,P.VIAJE,consumible,consumible_7666,P.VIAJE4,-11991.0,201508,especifico,V002,G002,,P017,,,
A000213,2015-08-08,P.VIAJE,necesidad,necesidad_20,P.VIAJE3,-24681.0,201508,especifico,V002,G002,,P017,,,
A000214,2015-08-08,P.VIAJE,consumible,consumible_7933,P.VIAJE7,-14106.0,201508,especifico,V002,G002,,P017,,,
A000215,2015-08-08,P.VIAJE,consumible,consumible_7930,P.VIAJE10,-10581.0,201508,especifico,V002,G002,,P017,,,
A000216,2015-08-09,P.VIAJE,consumible,consumible_11923,P.VIAJE7,-1557.0,201508,especifico,V002,G002,,P017,,,
A000217,2015-08-09,P.VIAJE,consumible,consumible_9334,P.VIAJE6,-711.0,201508,especifico,V002,G002,,P017,,,
A000218,2015-08-09,P.VIAJE,recreacion,recreacion_1,P.VIAJE1,-1416.0,201508,especifico,V002,G002,,P017,,,
A000219,2015-08-09,P.VIAJE,consumible,consumible_9103,P.VIAJE7,-11991.0,201508,especifico,V002,G002,,P017,,,
A000220,2015-08-09,P.VIAJE,transporte,transporte_2,P.VIAJE10,-7761.0,201508,especifico,V002,G002,,P017,,,
A000225,2015-08-12,P.FORMAL,necesidad,necesidad_4,P.FORMAL1,-186831.0,201508,especifico,,,,,P.FORMAL,P015,
A000263,2015-08-29,P.VIAJE,transporte,transporte_18,P.VIAJE10,-8113.5,201508,especifico,V003,G002,,P017,,,
