"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A000003,2015-04-28,DINERO,transaccion,transaccion_565,DINERO3,credito_3,-184802.715,1,201504,201505,2015-05-01,gasto
A000008,2015-04-29,DINERO,transaccion,transaccion_5,DINERO10,credito_3,112864.5,1,201504,201505,2015-05-01,deposito
A000034,2015-05-10,DINERO,transaccion,transaccion_14,DINERO2,credito_3,36724.5,2,201505,201506,2015-06-01,deposito
A000037,2015-05-11,P.VIAJE,transporte,transporte_16,P.VIAJE7,credito_3,-137692.5,2,201505,201506,2015-06-01,gasto
A000038,2015-05-11,NECESIDAD,necesidad,necesidad_17,NECESIDAD3,credito_3,-7309.095,2,201505,201506,2015-06-01,gasto
A000064,2015-05-25,DINERO,transaccion,transaccion_1,DINERO4,credito_3,145224.0,2,201505,201506,2015-06-01,deposito
A000089,2015-06-08,LIBRE,gustos,gustos_566,LIBRE3,credito_3,-17137.5,2,201505,201506,2015-06-01,gasto
A000104,2015-06-13,DINERO,transaccion,transaccion_8,DINERO6,credito_3,17125.5,3,201506,201507,2015-07-01,deposito
A000106,2015-06-13,DINERO,transaccion,"5.transaccion_13",DINERO1,credito_3,34949.31,3,201506,201507,2015-07-01,deposito
A000132,2015-06-23,RECREACION,regalo,regalo: nombre_7,RECREACION4,credito_3,-25809.0,3,201506,201507,2015-07-01,gasto
A000134,2015-06-24,NECESIDAD,necesidad,necesidad_13,NECESIDAD4,credito_3,-7309.095,3,201506,201507,2015-07-01,gasto
A000136,2015-06-24,NECESIDAD,necesidad,necesidad_15,NECESIDAD6,credito_3,7297.095,3,201506,201507,2015-07-01,deposito
A000155,2015-07-08,DINERO,transaccion,transaccion_1,DINERO8,credito_3,25797.0,3,201506,201507,2015-07-01,deposito
A000179,2015-07-25,RECREACION,evento,evento_7797,RECREACION3,credito_3,-3672.0,4,201507,201508,2015-08-01,gasto
A000180,2015-07-25,RECREACION,invitacion,invitacion_6284,RECREACION6,credito_3,-3672.0,4,201507,201508,2015-08-01,gasto
A000181,2015-07-25,RECREACION,invitacion,invitacion_6283,RECREACION7,credito_3,-3672.0,4,201507,201508,2015-08-01,gasto
A000183,2015-07-26,NECESIDAD,necesidad,necesidad_9,NECESIDAD8,credito_3,-7309.095,4,201507,201508,2015-08-01,gasto
A000185,2015-07-26,NECESIDAD,necesidad,necesidad_11,NECESIDAD10,credito_3,7297.095,4,201507,201508,2015-08-01,deposito
A000199,2015-08-02,DINERO,transaccion,transaccion_17,DINERO10,credito_3,10992.0,4,201507,201508,2015-08-01,deposito
A000228,2015-08-12,SUSCRIPCION,necesidad,necesidad_5,SUSCRIPCION8,credito_3,-14106.0,5,201508,201509,2015-09-01,gasto
A000248,2015-08-18,NECESIDAD,necesidad,necesidad_11,NECESIDAD3,credito_3,-7267.5,5,201508,201509,2015-09-01,gasto
A000249,2015-08-18,DINERO,transaccion,transaccion_12,DINERO2,credito_3,21355.5,5,201508,201509,2015-09-01,deposito
A000264,2015-08-29,P.VIAJE,consumible,consumible_8468,P.VIAJE2,credito_3,-13683.0,5,201508,201509,2015-09-01,gasto
A000274,2015-09-02,DINERO,transaccion,transaccion_2,DINERO4,credito_3,13671.0,5,201508,201509,2015-09-01,deposito
A000295,2015-09-11,RECREACION,consumible,consumible_13330,RECREACION10,credito_3,-2403.0,6,201509,201510,2015-10-01,gasto
A000299,2015-09-12,P.GUSTOS,gustos,gustos_5035,P.GUSTOS9,credito_3,-21649.5,6,201509,201510,2015-10-01,gasto
A000300,2015-09-12,P.GUSTOS,gustos,gustos_4636,P.GUSTOS8,credito_3,-14035.5,6,201509,201510,2015-10-01,gasto
A000301,2015-09-12,P.GUSTOS,gustos,gustos_4637,P.GUSTOS7,credito_3,-9523.5,6,201509,201510,2015-10-01,gasto
A000307,2015-09-14,DINERO,transaccion,transaccion_8,DINERO6,credito_3,54984.0,6,201509,201510,2015-10-01,deposito
A000343,2015-09-26,RECREACION,consumible,consumible_13818,RECREACION2,credito_3,-1557.0,6,201509,201510,2015-10-01,gasto
A000347,2015-09-30,NECESIDAD,necesidad,necesidad_18,NECESIDAD4,credito_3,-7292.88,6,201509,201510,2015-10-01,gasto
A000348,2015-09-30,DINERO,transaccion,transaccion_19,DINERO8,credito_3,1429.3799999999999,6,201509,201510,2015-10-01,deposito
A000395,2015-10-27,NECESIDAD,necesidad,necesidad_9,NECESIDAD5,credito_3,-7479.0,7,201510,201511,2015-11-01,gasto
