"id","fecha","razon_uso","descripcion","lugar_de_uso","monto","id_deuda","periodo_fact_c_diaria","nombre_deudor","periodo_id_deuda"
A000321,2015-09-17,LIBRE,deuda: nombre_12,LIBRE4,-4236.0,D000,201509,nombre_12,201604
A000332,2015-09-21,LIBRE,deuda: nombre_17,LIBRE8,-2473.5,D000,201509,nombre_17,201604
A000361,2015-10-03,LIBRE,deuda: nombre_18,LIBRE10,-7056.0,D000,201510,nombre_18,201604
A000406,2015-10-30,RECREACION,deuda: nombre_11,RECREACION7,-5082.0,D232,201510,nombre_11,201510
A000419,2015-11-02,RECREACION,deuda: nombre_12,RECREACION9,2532.0,D232,201511,nombre_12,201510
A000420,2015-11-03,LIBRE,deuda: nombre_4,LIBRE4,7044.0,D001,201511,nombre_4,201511
A000432,2015-11-07,LIBRE,deuda: nombre_19,LIBRE5,-3531.0,D000,201511,nombre_19,201604
A000433,2015-11-07,LIBRE,deuda: nombre_4,LIBRE6,-7056.0,D001,201511,nombre_4,201511
A000454,2015-11-14,LIBRE,deuda: nombre_9,LIBRE9,-1416.0,D002,201511,nombre_9,201511
A000455,2015-11-14,LIBRE,deuda: nombre_20,LIBRE1,1404.0,D002,201511,nombre_20,201511
A000609,2016-01-01,P.VIAJE,deuda: nombre_17,P.VIAJE3,7044.0,D227,201601,nombre_17,201601
A000610-1,2016-01-01,P.VIAJE,deuda: nombre_18,P.VIAJE4,-7056.0,D227,201601,nombre_18,201601
A000656,2016-01-16,RECREACION,deuda: nombre_16,RECREACION1,-3813.0,D003,201601,nombre_16,201601
A000658,2016-01-16,RECREACION,deuda: nombre_17,RECREACION4,3519.0,D003,201601,nombre_17,201601
A000668,2016-01-24,LIBRE,deuda: nombre_9,LIBRE5,-11286.0,D228,201601,nombre_9,201601
A000669,2016-01-24,LIBRE,deuda: nombre_10,LIBRE6,7044.0,D228,201601,nombre_10,201601
A000760-1,2016-03-05,RECREACION,deuda: nombre_10,RECREACION4,-5646.0,D224,201603,nombre_10,201603
A000762,2016-03-05,RECREACION,deuda: nombre_11,RECREACION5,5634.0,D224,201603,nombre_11,201603
A000766,2016-03-08,LIBRE,deuda: nombre_6,LIBRE6,9088.5,D004,201603,nombre_6,201603
A000767,2016-03-08,LIBRE,deuda: nombre_7,LIBRE4,-11145.0,D004,201603,nombre_7,201603
A000815,2016-03-22,LIBRE,deuda: nombre_1,LIBRE7,-3531.0,D005,201603,nombre_1,201603
A000823,2016-03-24,RECREACION,deuda: nombre_2,RECREACION8,3519.0,D005,201603,nombre_2,201603
A000860,2016-04-09,RECREACION,deuda_8261,RECREACION9,-11991.0,D006,201604,Varios,201604
A000861,2016-04-09,RECREACION,deuda: nombre_3,RECREACION2,-8466.0,D006,201604,nombre_3,201604
A000862,2016-04-09,RECREACION,deuda_8243,RECREACION7,-2121.0,D006,201604,Varios,201604
A000863,2016-04-09,RECREACION,deuda_8244,RECREACION6,-2121.0,D006,201604,Varios,201604
A000864,2016-04-09,RECREACION,deuda_8278,RECREACION2,-711.0,D006,201604,Varios,201604
A000865,2016-04-09,NECESIDAD,deuda_2605,NECESIDAD7,-4941.0,D006,201604,Varios,201604
A000866,2016-04-09,RECREACION,deuda_8190,RECREACION10,-2121.0,D006,201604,Varios,201604
A000867,2016-04-09,RECREACION,deuda_8263,RECREACION7,-2121.0,D006,201604,Varios,201604
A000869,2016-04-10,LIBRE,deuda: nombre_16,LIBRE1,23259.0,D006,201604,nombre_16,201604
A000870,2016-04-10,LIBRE,deuda: nombre_17,LIBRE7,16914.0,D006,201604,nombre_17,201604
A000916,2016-04-23,LIBRE,deuda: nombre_20,LIBRE3,-7056.0,D000,201604,nombre_20,201604
A000980,2016-05-14,P.VIAJE,deuda: nombre_13,P.VIAJE2,56394.0,D007,201605,nombre_13,201605
A001001,2016-05-17,P.VIAJE,deuda: nombre_14,P.VIAJE5,-84606.0,D007,201605,nombre_14,201605
A001031,2016-05-27,P.VIAJE,deuda: nombre_15,P.VIAJE6,42294.0,D007,201605,nombre_15,201605
A001067,2016-06-04,LIBRE,deuda: nombre_11,LIBRE10,-76851.0,D009,201606,nombre_11,201606
A001114,2016-06-15,LIBRE,deuda: nombre_10,LIBRE5,76839.0,D009,201606,nombre_10,201606
A001123,2016-06-18,P.VIAJE,deuda: nombre_16,P.VIAJE7,42294.0,D007,201606,nombre_16,201605
A001493,2016-10-10,P.VIAJE,deuda: nombre_12,P.VIAJE9,-56406.0,D007,201610,nombre_12,201605
A001622,2016-11-26,RECREACION,deuda: nombre_19,RECREACION6,-3954.0,D008,201611,nombre_19,201611
A001623,2016-11-26,RECREACION,deuda: nombre_20,RECREACION7,3519.0,D008,201611,nombre_20,201611
A001734,2017-01-08,RECREACION,deuda: nombre_16,RECREACION8,-3954.0,D010,201701,nombre_16,201701
A001735,2017-01-08,LIBRE,deuda: nombre_17,LIBRE2,3519.0,D010,201701,nombre_17,201701
A001758,2017-01-13,RECREACION,deuda: nombre_6,RECREACION9,-3954.0,D011,201701,nombre_6,201701
A001759,2017-01-13,LIBRE,deuda: nombre_7,LIBRE3,3942.0,D011,201701,nombre_7,201701
A001773,2017-01-21,LIBRE,deuda: nombre_7,LIBRE4,-7954.875,D012,201701,nombre_7,201701
A001780,2017-01-21,LIBRE,deuda: nombre_8,LIBRE5,7942.875,D012,201701,nombre_8,201701
A001782,2017-01-22,RECREACION,deuda: nombre_1,RECREACION2,-6351.0,D013,201701,nombre_1,201701
A001783,2017-01-22,RECREACION,deuda: nombre_2,RECREACION3,3166.5,D013,201701,nombre_2,201701
A001798,2017-01-31,RECREACION,deuda: nombre_4,RECREACION4,-4412.25,D014,201701,nombre_4,201701
A001799,2017-01-31,RECREACION,deuda: nombre_3,RECREACION5,-4412.25,D014,201701,nombre_3,201701
A001800,2017-01-31,RECREACION,deuda: nombre_1,RECREACION6,-4236.0,D014,201701,nombre_1,201701
A001809,2017-02-03,LIBRE,deuda: nombre_5,LIBRE6,8806.5,D014,201702,nombre_5,201701
A001812,2017-02-03,LIBRE,deuda: nombre_2,LIBRE7,4224.0,D014,201702,nombre_2,201701
A001859,2017-02-17,RECREACION,deuda: nombre_16,RECREACION7,-3954.0,D015,201702,nombre_16,201702
A001860,2017-02-17,LIBRE,deuda: nombre_17,LIBRE8,3942.0,D015,201702,nombre_17,201702
A001941-1,2017-03-13,P.VIAJE,deuda: nombre_10,P.VIAJE8,-69801.0,D016,201703,nombre_10,201703
A001941-2,2017-03-13,P.VIAJE,deuda: nombre_3,P.VIAJE9,-69801.0,D016,201703,nombre_3,201703
A001942,2017-03-13,P.VIAJE,deuda: nombre_11,P.VIAJE9,83889.0,D016,201703,nombre_11,201703
A001977,2017-03-16,P.VIAJE,deuda: nombre_4,P.VIAJE8,14094.0,D016,201703,nombre_4,201703
A001998,2017-03-18,P.VIAJE,deuda: nombre_15,P.VIAJE9,-22384.815,D017,201703,nombre_15,201703
A002005,2017-03-18,P.VIAJE,deuda: nombre_16,P.VIAJE9,33583.02,D017,201703,nombre_16,201703
A002046,2017-03-29,P.VIAJE,deuda: nombre_6,P.VIAJE10,211494.0,D018,201703,nombre_6,201703
