"id","fecha","descripcion","monto","tipo_inversion_detectado","categoria_movimiento","periodo_fact_c_diaria","clave"
A003366,2018-02-06,loc_1,-7050006.0,loc_1,deposito,201802,inversion
A003499,2018-03-22,loc_1,-2820006.0,loc_1,deposito,201803,inversion
A003500,2018-03-22,loc_1,-705006.0,loc_1,deposito,201803,inversion
A003501,2018-03-23,loc_1,2819994.0,loc_1,retiro,201803,inversion
A003504,2018-03-23,loc_1,-2820006.0,loc_1,deposito,201803,inversion
A003544,2018-03-28,loc_1,-1442240.01,loc_1,deposito,201803,inversion
A003558,2018-04-04,loc_1,1442228.01,loc_1,retiro,201804,inversion
A003716,2018-05-15,loc_1,-35256.0,loc_1,deposito,201805,inversion
A003723,2018-05-16,loc_1,-4230006.0,loc_1,deposito,201805,inversion
A003731,2018-05-17,loc_2,-3525006.0,loc_2,deposito,201805,inversion
A003737,2018-05-17,loc_3,-105756.0,loc_3,deposito,201805,inversion
A003738,2018-05-18,loc_2,-3525006.0,loc_2,deposito,201805,inversion
A003786,2018-05-29,loc_4,-105756.0,loc_4,deposito,201805,inversion
A003874,2018-06-18,loc_3,-105756.0,loc_3,deposito,201806,inversion
A003947,2018-06-29,loc_4,-105756.0,loc_4,deposito,201806,inversion
A003958,2018-07-04,loc_1,281994.0,loc_1,retiro,201807,inversion
A004003,2018-07-17,loc_3,-105756.0,loc_3,deposito,201807,inversion
A004060,2018-07-31,loc_4,-105756.0,loc_4,deposito,201807,inversion
A004113,2018-08-17,loc_3,-105756.0,loc_3,deposito,201808,inversion
A004145,2018-08-31,loc_1,-133956.0,loc_1,deposito,201808,inversion
A004155,2018-08-31,loc_4,-105756.0,loc_4,deposito,201808,inversion
A004211,2018-09-17,loc_3,-105756.0,loc_3,deposito,201809,inversion
A004247,2018-09-28,loc_1,-169206.0,loc_1,deposito,201809,inversion
A004248,2018-09-28,loc_4,-105756.0,loc_4,deposito,201809,inversion
A004257,2018-10-01,loc_1,296094.0,loc_1,retiro,201810,inversion
A004297,2018-10-18,loc_3,-105756.0,loc_3,deposito,201810,inversion
A004346,2018-10-31,loc_1,-169206.0,loc_1,deposito,201810,inversion
A004355,2018-10-31,loc_4,-105756.0,loc_4,deposito,201810,inversion
A004412,2018-11-21,loc_3,-105756.0,loc_3,deposito,201811,inversion
A004442,2018-11-30,loc_4,-105756.0,loc_4,deposito,201811,inversion
A004526,2018-12-19,loc_3,-105756.0,loc_3,deposito,201812,inversion
A004578,2018-12-31,loc_1,-204456.0,loc_1,deposito,201812,inversion
A004585,2018-12-31,loc_4,-105756.0,loc_4,deposito,201812,inversion
A004624,2019-01-18,loc_3,-105756.0,loc_3,deposito,201901,inversion
A004658,2019-02-01,loc_1,-126906.0,loc_1,deposito,201902,inversion
A004663,2019-02-02,loc_4,-105756.0,loc_4,deposito,201902,inversion
A004706,2019-02-15,loc_3,-105756.0,loc_3,deposito,201902,inversion
A004739,2019-02-28,loc_1,-225606.0,loc_1,deposito,201902,inversion
A004752,2019-03-01,loc_4,-105756.0,loc_4,deposito,201903,inversion
A004794,2019-03-15,loc_3,-105756.0,loc_3,deposito,201903,inversion
A004942,2019-03-29,loc_4,-105756.0,loc_4,deposito,201903,inversion
A005035,2019-04-22,loc_3,-105756.0,loc_3,deposito,201904,inversion
A005077,2019-04-30,loc_4,-105756.0,loc_4,deposito,201904,inversion
A005125,2019-05-08,loc_1,-6274506.0,loc_1,deposito,201905,inversion
A005126,2019-05-08,loc_2,-9658506.0,loc_2,deposito,201905,inversion
A005176,2019-05-17,loc_3,-105756.0,loc_3,deposito,201905,inversion
A005211,2019-05-29,loc_4,-105756.0,loc_4,deposito,201905,inversion
A005276,2019-06-11,monedero,-73749.0,monedero,deposito,201906,necesidad
A005277,2019-06-11,monedero,-11804.880000000001,monedero,deposito,201906,necesidad
A005350,2019-06-17,loc_3,-105756.0,loc_3,deposito,201906,inversion
A005411,2019-07-01,loc_4,-105756.0,loc_4,deposito,201907,inversion
A005462,2019-07-17,loc_3,-105756.0,loc_3,deposito,201907,inversion
A005500,2019-07-29,loc_4,-105756.0,loc_4,deposito,201907,inversion
A005583,2019-08-16,loc_3,-105756.0,loc_3,deposito,201908,inversion
A005589,2019-08-20,loc_1,211494.0,loc_1,retiro,201908,inversion
A005619,2019-08-30,loc_4,-105756.0,loc_4,deposito,201908,inversion
A005690,2019-09-18,loc_3,-105756.0,loc_3,deposito,201909,inversion
A005841,2019-10-04,monedero,49344.0,monedero,retiro,201910,transaccion
A005878,2019-10-08,loc_4,-105756.0,loc_4,deposito,201910,inversion
A005918,2019-10-18,loc_3,-105756.0,loc_3,deposito,201910,inversion
A005980,2019-10-28,loc_1,1259690.82,loc_1,retiro,201910,inversion
A005981,2019-10-28,loc_1,855297.1799999999,loc_1,retiro,201910,inversion
A006016,2019-11-01,loc_4,-105756.0,loc_4,deposito,201911,inversion
A006035,2019-11-04,loc_1,-493506.0,loc_1,deposito,201911,inversion
A006064,2019-11-15,loc_1,-246756.0,loc_1,deposito,201911,inversion
A006069,2019-11-15,loc_3,-105756.0,loc_3,deposito,201911,inversion
A006096,2019-11-22,loc_1,2819994.0,loc_1,retiro,201911,inversion
A006125,2019-11-30,loc_4,-105756.0,loc_4,deposito,201911,inversion
A006225,2019-12-18,loc_3,-105756.0,loc_3,deposito,201912,inversion
A006330,2020-01-08,loc_4,-105756.0,loc_4,deposito,202001,inversion
A006366,2020-01-20,loc_3,-105756.0,loc_3,deposito,202001,inversion
A006377,2020-01-30,loc_4,-105756.0,loc_4,deposito,202001,inversion
A006428,2020-02-20,loc_3,-105756.0,loc_3,deposito,202002,inversion
A006486,2020-03-02,loc_4,-105756.0,loc_4,deposito,202003,inversion
A006563,2020-03-26,monedero,63444.0,monedero,retiro,202003,transaccion
A006576,2020-04-01,loc_4,-105756.0,loc_4,deposito,202004,inversion
A006623,2020-04-21,loc_3,-105756.0,loc_3,deposito,202004,inversion
