"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","nombre"
A000021,2015-05-04,INGRESO,transaccion,transaccion: nombre_19,INGRESO7,7044.0,201505,nombre_19
A000023,2015-05-05,INGRESO,transaccion,transaccion: nombre_20,INGRESO2,7044.0,201505,nombre_20
A000024,2015-05-06,INGRESO,transaccion,transaccion: nombre_1,INGRESO1,7044.0,201505,nombre_1
A000025,2015-05-07,INGRESO,transaccion,transaccion: nombre_2,INGRESO7,7044.0,201505,nombre_2
A000029,2015-05-07,RECREACION,gustos,gustos: nombre_16,RECREACION1,-2826.0,201505,nombre_16
A000030,2015-05-08,INGRESO,transaccion,transaccion: nombre_3,INGRESO8,7044.0,201505,nombre_3
A000040,2015-05-11,INGRESO,transaccion,transaccion: nombre_4,INGRESO9,14094.0,201505,nombre_4
A000042,2015-05-13,INGRESO,transaccion,transaccion: nombre_5,INGRESO10,14094.0,201505,nombre_5
A000052,2015-05-18,INGRESO,transaccion,transaccion: nombre_6,INGRESO3,7044.0,201505,nombre_6
A000053,2015-05-19,INGRESO,transaccion,transaccion: nombre_7,INGRESO4,7044.0,201505,nombre_7
A000055,2015-05-20,INGRESO,transaccion,transaccion: nombre_8,INGRESO5,7044.0,201505,nombre_8
A000056,2015-05-21,INGRESO,transaccion,transaccion: nombre_9,INGRESO6,7044.0,201505,nombre_9
A000057,2015-05-22,INGRESO,transaccion,transaccion: nombre_10,INGRESO8,7044.0,201505,nombre_10
A000066,2015-05-25,INGRESO,transaccion,transaccion: nombre_11,INGRESO1,7044.0,201505,nombre_11
A000067,2015-05-26,INGRESO,transaccion,transaccion: nombre_12,INGRESO2,7044.0,201505,nombre_12
A000069,2015-05-27,INGRESO,transaccion,transaccion: nombre_13,INGRESO4,7044.0,201505,nombre_13
A000070,2015-05-28,INGRESO,transaccion,transaccion: nombre_14,INGRESO5,7044.0,201505,nombre_14
A000071,2015-05-29,INGRESO,transaccion,transaccion: nombre_15,INGRESO6,3519.0,201505,nombre_15
A000076,2015-06-01,INGRESO,transaccion,transaccion: nombre_16,INGRESO8,3519.0,201506,nombre_16
A000077,2015-06-02,INGRESO,transaccion,transaccion: nombre_17,INGRESO9,7044.0,201506,nombre_17
A000078,2015-06-03,INGRESO,transaccion,transaccion: nombre_18,INGRESO5,7044.0,201506,nombre_18
A000079,2015-06-04,INGRESO,transaccion,transaccion: nombre_19,INGRESO6,14094.0,201506,nombre_19
A000080,2015-06-05,INGRESO,transaccion,transaccion: nombre_20,INGRESO7,7044.0,201506,nombre_20
A000084,2015-06-06,P.GUSTOS,gustos,gustos: nombre_19,P.GUSTOS3,-133956.0,201506,nombre_19
A000088,2015-06-08,INGRESO,transaccion,transaccion: nombre_1,INGRESO8,7044.0,201506,nombre_1
A000091,2015-06-09,INGRESO,transaccion,transaccion: nombre_2,INGRESO9,7044.0,201506,nombre_2
A000093,2015-06-10,INGRESO,transaccion,transaccion: nombre_3,INGRESO10,7044.0,201506,nombre_3
A000095,2015-06-11,INGRESO,transaccion,transaccion: nombre_4,INGRESO1,7044.0,201506,nombre_4
