"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A000007,2015-04-29,NECESIDAD,necesidad,necesidad_4,NECESIDAD1,-499.5,201504,regular,,,
A000012,2015-04-30,NECESIDAD,necesidad,necesidad_7,NECESIDAD10,-72973.5,201504,regular,,,
A000013,2015-04-30,NECESIDAD,necesidad,necesidad_8,NECESIDAD1,-1063.5,201504,regular,,,
A000014,2015-04-30,NECESIDAD,necesidad,necesidad_9,NECESIDAD1,-7690.5,201504,regular,,,
A000015,2015-04-30,NECESIDAD,necesidad,necesidad_10,NECESIDAD10,-7056.0,201504,regular,,,
A000016,2015-04-30,HOGAR,hogar,hogar2052,HOGAR6,-1768.5,201504,regular,,,
A000017,2015-04-30,TRANSPORTE,transporte,transporte_11,TRANSPORTE4,-49356.0,201504,regular,,,
A000018,2015-04-30,LIBRE,consumible,consumible_2309,LIBRE10,-3531.0,201504,regular,,,
A000019,2015-04-30,NECESIDAD,necesidad,necesidad_12,NECESIDAD1,-3531.0,201504,regular,,,
A000020,2015-05-02,RECREACION,consumible,consumible_10599,RECREACION1,-4200.75,201505,regular,,,
A000022,2015-05-04,RECREACION,consumible,consumible_9905,RECREACION5,-3531.0,201505,regular,,,
A000026,2015-05-07,HOGAR,hogar,hogar2053,HOGAR7,699.0,201505,regular,,,
A000027,2015-05-07,RECREACION,consumible,consumible_13049,RECREACION1,-1768.5,201505,regular,,,
A000028,2015-05-07,RECREACION,evento,evento_7839,RECREACION1,-5293.5,201505,regular,,,
A000029,2015-05-07,RECREACION,gustos,gustos: nombre_16,RECREACION1,-2826.0,201505,regular,,,
A000031,2015-05-09,NECESIDAD,necesidad,necesidad_13,NECESIDAD7,-4941.0,201505,regular,,,
A000032,2015-05-09,LIBRE,consumible,consumible_6663,LIBRE6,-2121.0,201505,regular,,,
A000033,2015-05-10,HOGAR,hogar,hogar2054,HOGAR8,-3531.0,201505,regular,,,
A000036,2015-05-10,RECREACION,consumible,consumible_12803,RECREACION7,-4941.0,201505,regular,,,
A000037,2015-05-11,P.VIAJE,transporte,transporte_16,P.VIAJE7,-137692.5,201505,especifico,V005,G004,P016
A000038,2015-05-11,NECESIDAD,necesidad,necesidad_17,NECESIDAD3,-7309.095,201505,regular,,,
A000039,2015-05-11,P.VIAJE,evento,evento_5846,P.VIAJE4,-76886.25,201505,especifico,V005,G004,P016
A000041,2015-05-12,NECESIDAD,necesidad,necesidad_18,NECESIDAD1,-7056.0,201505,regular,,,
A000043,2015-05-13,SUSCRIPCION,necesidad,necesidad_19,SUSCRIPCION6,-14106.0,201505,regular,,,
