id,fecha,clave,descripcion,lugar_de_uso,monto,id_viaje,moneda,tipo_cambio,periodo_fact_c_diaria
A005725,22/09/2019,recreacion,recreacion_11,P.VIAJE6,-711,V064,Yen Japones,66683,201909
A005420,04/07/2019,necesidad,necesidad: nombre_16,P.VIAJE7,-11286,V062,Dolar Americano,678.84,201907
A013881-1,16/04/2024,deuda,deuda: nombre_13,P.VIAJE9,-1819.6125,V122,Yen Japones,63334,202404
A010187,20/08/2022,consumible,consumible_9729,P.VIAJE1,-4729.5,V092,Yen Japones,68929,202208
A003904,23/06/2018,consumible,consumible_7888,P.VIAJE2,-7761,V047,Dolar Americano,638.14,201806
A014701,05/08/2024,consumible,consumible: nombre_12,P.VIAJE6,-24681,V138,Euro,1044.93,202408
A013226,12/01/2024,deuda,deuda: nombre_1,P.VIAJE3,-35931.39,V133,Euro,995.81,202401
A013998,25/04/2024,deuda,deuda: nombre_8,P.VIAJE10,-2599.695,V131,Dolar Americano,948.83,202404
A013900,18/04/2024,necesidad,necesidad_9,P.VIAJE2,-696.9,V122,Yen Japones,62440,202404
A013224,12/01/2024,deuda,deuda: nombre_1,P.VIAJE2,-42701.505,V132,Euro,995.81,202401
A000981,14/05/2016,transporte,transporte_19,P.VIAJE9,-24681,V009,Dolar Americano,691.26,201605
A012590,15/09/2023,regalo,regalo: nombre_11,P.VIAJE9,-20803.5,V108,Euro,941.52,202309
A011069,02/01/2023,recreacion,recreacion_14,P.VIAJE9,-7091.25,V100,Euro,903.92,202301
A001419,23/09/2016,necesidad,necesidad_10,P.VIAJE10,-11765.4,V013,Dolar Americano,660.25,201609
A001001,17/05/2016,deuda,deuda: nombre_14,P.VIAJE5,-84606,V013,Dolar Americano,688.6,201605
A015686,16/04/2025,recreacion,recreacion_7,P.VIAJE7,-4003.35,V143,Yen Japones,68408,202504
A009505,19/05/2022,consumible,consumible_8290,P.VIAJE10,-13753.5,V086,Euro,886.13,202205
A007218,19/09/2020,consumible,consumible_11601,P.VIAJE9,-2297.25,V080,Yen Japones,72963,202009
A013917,19/04/2024,consumible,consumible_10581,P.VIAJE9,-4192.995,V122,Yen Japones,61716,202404
A011007,16/12/2022,consumible,consumible_7942,P.VIAJE8,-11997.345,V100,Euro,936.78,202212
A001391,17/09/2016,regalo,regalo: nombre_10,P.VIAJE8,-7061.64,V011,Dolar Americano,674.34,201609
A013109,23/12/2023,invitacion,invitacion: nombre_11,P.VIAJE2,-3531,V113,Euro,982.04,202312
A014213,03/05/2024,deuda,deuda: nombre_12,P.VIAJE2,2504.1525,V118,Dolar Americano,938.78,202405
A005418,04/07/2019,necesidad,necesidad: nombre_17,P.VIAJE5,-11145,V062,Dolar Americano,678.84,201907
A005405,29/06/2019,consumible,consumible_9347,P.VIAJE3,-1310.25,V062,Dolar Americano,677.15,201906
A004872,22/03/2019,consumible,consumible_7230,P.VIAJE10,-1416,V052,Dolar Americano,678.23,201903
A013871,16/04/2024,deuda,deuda: nombre_1,P.VIAJE1,-2864.07,V122,Yen Japones,63334,202404
A011908,25/05/2023,consumible,consumible_9701,P.VIAJE9,-7761,V101,Euro,868.24,202305
A009487,17/05/2022,consumible,consumible_10534,P.VIAJE6,-4800,V086,Euro,896.6,202205
A008741,29/10/2021,consumible,consumible_8133,P.VIAJE7,-2050.5,V084,Dolar Americano,813.2,202110
A001410,23/09/2016,necesidad,5.necesidad_1,P.VIAJE6,-101420.25,V013,Dolar Americano,660.25,201609
A001438,24/09/2016,necesidad,necesidad_7,P.VIAJE7,-8225.595,V013,Dolar Americano,660.25,201609
A005819,03/10/2019,evento,evento_5647,P.VIAJE3,-1839,V066,Euro,785.21,201910
A013152,07/01/2024,consumible,consumible_8213,P.VIAJE7,-6351,V113,Euro,973.31,202401
A013892,17/04/2024,deuda,deuda: nombre_6,P.VIAJE8,-2568.675,V122,Yen Japones,63314,202404
A006073,16/11/2019,recreacion,recreacion_13,RECREACION9,-2826,V071,Dolar Americano,774.3,201911
A014028,27/04/2024,deuda,deuda: nombre_15,P.VIAJE10,-31024.59,V133,Euro,1014.49,202404
A014721,09/08/2024,consumible,consumible_10608,P.VIAJE2,-2826,V139,Euro,1017.4,202408
A010182,20/08/2022,consumible,consumible_7565,P.VIAJE5,-3531,V090,Euro,947.26,202208
A014641,27/07/2024,hogar,hogar_4774,P.VIAJE6,-5293.5,V138,Euro,1033.8,202407
A008718,23/10/2021,consumible,consumible_8450,P.VIAJE10,-7042.605,V083,Yen Japones,71769,202110
A001077,04/06/2016,consumible,consumible_9238,P.VIAJE2,-4588.5,V010,Euro,775.58,201606
A013548,11/03/2024,evento,evento_5789,P.VIAJE1,-32537.1675,V120,Dolar Americano,966.4,202403
A005354,21/06/2019,deuda,deuda: nombre_4,P.VIAJE4,-19182,V062,Dolar Americano,683.33,201906
A013983,23/04/2024,consumible,consumible_7187,P.VIAJE3,-9052.56,V128,Euro,1022.4,202404
A005636,06/09/2019,deuda,deuda: nombre_10,P.VIAJE1,44973,V064,Yen Japones,66492,201909
A014014,26/04/2024,consumible,consumible_7837,P.VIAJE3,-2003.265,V132,Euro,1014.49,202404
A009516,20/05/2022,recreacion,recreacion_12,P.VIAJE6,-5646,V086,Euro,882.76,202205
A006189,10/12/2019,necesidad,necesidad_7,P.VIAJE9,-195631.515,V074,Euro,864.57,201912
A013551,11/03/2024,deuda,deuda: nombre_18,P.VIAJE6,-15621.045,V120,Dolar Americano,966.4,202403
A013230,13/01/2024,deuda,deuda: nombre_17,P.VIAJE4,-229295.265,V122,Yen Japones,62754,202401
A013822-1,12/04/2024,deuda,deuda: nombre_18,P.VIAJE6,-265.7925,V119,Euro,1026.29,202404
A001992,17/03/2017,consumible,consumible_10454,P.VIAJE6,-2787.225,V021,Euro,710.93,201703
