fecha,tipo_cambio,moneda
15/01/2026,1025.24,Euro
14/01/2026,1026.38,Euro
13/01/2026,1032.35,Euro
12/01/2026,1031.21,Euro
09/01/2026,1039.65,Euro
08/01/2026,1046.92,Euro
07/01/2026,1046.43,Euro
06/01/2026,1045.50,Euro
05/01/2026,1059.00,Euro
02/01/2026,1061.95,Euro
01/01/2026,1057.10,Euro
31/12/2025,1057.86,Euro
30/12/2025,1057.76,Euro
29/12/2025,1077.19,Euro
26/12/2025,1066.47,Euro
25/12/2025,1065.18,Euro
24/12/2025,1065.23,Euro
23/12/2025,1071.09,Euro
22/12/2025,1069.59,Euro
19/12/2025,1065.57,Euro
18/12/2025,1068.26,Euro
17/12/2025,1077.06,Euro
16/12/2025,1072.46,Euro
15/12/2025,1076.21,Euro
12/12/2025,1068.68,Euro
11/12/2025,1073.06,Euro
10/12/2025,1080.59,Euro
09/12/2025,1076.44,Euro
08/12/2025,1075.01,Euro
05/12/2025,1077.51,Euro
04/12/2025,1067.99,Euro
03/12/2025,1073.20,Euro
02/12/2025,1073.22,Euro
01/12/2025,1078.30,Euro
28/11/2025,1076.27,Euro
27/11/2025,1077.53,Euro
26/11/2025,1074.78,Euro
25/11/2025,1082.75,Euro
24/11/2025,1083.00,Euro
21/11/2025,1081.18,Euro
20/11/2025,1069.67,Euro
19/11/2025,1076.39,Euro
18/11/2025,1080.00,Euro
17/11/2025,1071.33,Euro
14/11/2025,1075.53,Euro
13/11/2025,1081.58,Euro
12/11/2025,1078.25,Euro
11/11/2025,1082.64,Euro
10/11/2025,1085.12,Euro
07/11/2025,1093.84,Euro
06/11/2025,1088.72,Euro
05/11/2025,1084.14,Euro
04/11/2025,1087.45,Euro
03/11/2025,1081.35,Euro
31/10/2025,1087.28,Euro
30/10/2025,1090.39,Euro
29/10/2025,1092.90,Euro
28/10/2025,1099.67,Euro
27/10/2025,1096.13,Euro
24/10/2025,1094.97,Euro
23/10/2025,1097.35,Euro
22/10/2025,1103.60,Euro
21/10/2025,1106.34,Euro
20/10/2025,1107.02,Euro
17/10/2025,1113.90,Euro
16/10/2025,1117.36,Euro
15/10/2025,1117.24,Euro
14/10/2025,1115.72,Euro
13/10/2025,1108.68,Euro
10/10/2025,1114.47,Euro
09/10/2025,1098.60,Euro
08/10/2025,1105.73,Euro
07/10/2025,1119.92,Euro
06/10/2025,1125.87,Euro
03/10/2025,1133.68,Euro
02/10/2025,1126.90,Euro
01/10/2025,1125.26,Euro
30/09/2025,1128.73,Euro
29/09/2025,1132.19,Euro
26/09/2025,1123.40,Euro
25/09/2025,1118.73,Euro
24/09/2025,1118.46,Euro
23/09/2025,1120.94,Euro
22/09/2025,1128.89,Euro
19/09/2025,1122.29,Euro
18/09/2025,1128.01,Euro
17/09/2025,1124.33,Euro
16/09/2025,1124.72,Euro
15/09/2025,1119.66,Euro
12/09/2025,1119.84,Euro
11/09/2025,1115.72,Euro
10/09/2025,1126.30,Euro
09/09/2025,1133.30,Euro
08/09/2025,1141.65,Euro
05/09/2025,1130.65,Euro
04/09/2025,1132.44,Euro
03/09/2025,1130.13,Euro
02/09/2025,1133.40,Euro
01/09/2025,1134.45,Euro
29/08/2025,1129.74,Euro
28/08/2025,1129.59,Euro
27/08/2025,1127.09,Euro
26/08/2025,1125.35,Euro
25/08/2025,1120.20,Euro
22/08/2025,1123.50,Euro
21/08/2025,1126.82,Euro
20/08/2025,1126.50,Euro
19/08/2025,1122.56,Euro
18/08/2025,1124.48,Euro
15/08/2025,1127.20,Euro
14/08/2025,1124.63,Euro
13/08/2025,1115.00,Euro
12/08/2025,1115.23,Euro
11/08/2025,1126.44,Euro
08/08/2025,1127.57,Euro
07/08/2025,1130.51,Euro
06/08/2025,1137.07,Euro
05/08/2025,1118.78,Euro
04/08/2025,1118.17,Euro
01/08/2025,1123.11,Euro
31/07/2025,1109.97,Euro
30/07/2025,1119.32,Euro
29/07/2025,1121.48,Euro
28/07/2025,1121.85,Euro
25/07/2025,1131.64,Euro
24/07/2025,1116.58,Euro
23/07/2025,1116.87,Euro
22/07/2025,1116.09,Euro
21/07/2025,1115.75,Euro
18/07/2025,1120.78,Euro
17/07/2025,1116.73,Euro
16/07/2025,1125.58,Euro
15/07/2025,1121.32,Euro
14/07/2025,1128.46,Euro
11/07/2025,1117.93,Euro
10/07/2025,1112.30,Euro
09/07/2025,1113.41,Euro
08/07/2025,1104.17,Euro
07/07/2025,1104.41,Euro
04/07/2025,1096.04,Euro
03/07/2025,1093.17,Euro
02/07/2025,1093.46,Euro
01/07/2025,1096.09,Euro
30/06/2025,1098.39,Euro
27/06/2025,1101.57,Euro
26/06/2025,1090.17,Euro
25/06/2025,1092.38,Euro
24/06/2025,1087.23,Euro
23/06/2025,1097.15,Euro
20/06/2025,1084.44,Euro
19/06/2025,1081.85,Euro
18/06/2025,1082.83,Euro
17/06/2025,1085.02,Euro
16/06/2025,1081.68,Euro
13/06/2025,1083.16,Euro
12/06/2025,1077.52,Euro
11/06/2025,1073.08,Euro
10/06/2025,1074.50,Euro
09/06/2025,1071.44,Euro
06/06/2025,1064.90,Euro
05/06/2025,1064.45,Euro
